;;;;;;A00-B99;A15-A19,B90;A39;B15-B19;B20-B24;C00-D48;C00-C97;C00-C14;C15;C16;C18;C19-C21;C22-C25;C22;C25;C32-C34;C34;C43,C44;C43;C50;C51-C68;C53;C54-C55;C56;C61;C64;C67;C81-C96;C91-C95;D10-D36;D50-D89;E00-E90;E10-E14;F00-F99;F10;F11-F16,F18-F19;G00-H95;G00-G03;I00-I99;I10-I15;I20-I25;I21,I22;I30-I33,I39-I52;I34-I38;I60-I69;I64;I70-I79;J00-J99;J10-J11;J12-J18;J40-J47;J45-J46;K00-K93;K25-K28;K70-K77;K70,K73-K74;L00-L99;M00-M99;M05-M06,M15-M19;N00-N99;N00-N29;O00-O99;P00-P96;Q00-Q99;Q00-Q07;Q20-Q28;R00-R99;R95;R96-R99;A00-T98;V01-V99;W00-W19;W65-W74;X00-X09;X40-X49;X60-X84;X85-Y09;Y10-Y34;V-X59,Y40-86,88;V01-Y98
;;;;;;Best. infektiöse u. parasitäre Krankheiten (KH);Tuberkulose einschl. ihrer Folgezustände;Meningokokkeninfektion;Virushepatitis;HIV-Krankheit;Neubildungen;Bösartige Neubildungen (BN);BN d. Lippe, d. Mundhöhle u. d. Pharynx;BN des Ösophagus;BN des Magens;BN des Dickdarms;BN des Rektums u. d. Anus u. a. Rektosigmoid;BN der Leber, der Gallenwege und des Pankreas;BN der Leber u. d. intrahepatischen Gallengänge;BN des Pankreas;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;BN der Bronchien und Lunge;Melanom und sonstige BN der Haut;Bösartiges Melanom der Haut;BN der Brustdrüse;BN der Genital- und Harnorgane;BN der Cervix uteri;BN des Corpus uteri u. Uterus, Teil n. n. bez.;BN des Ovars;BN der Prostata;BN der Niere, ausgenommen Nierenbecken;BN der Harnblase;BN d. lymphat., blutbild. u. verwandten Gewebes;Leukämie;Gutartige Neubildungen;KH d. Blutes, blutbild. Org., best. Störungen(...);Endokrine, Ernährungs- u. Stoffwechselkrankh.;Diabetes mellitus;Psychische und Verhaltensstörungen;Psychische u. Verhaltensstörungen durch Alkohol;Psychische u. Verhaltensst. d. a. psychot. Subst.;Krankheiten d. Nervensystems u. d. Sinnesorgane;Meningitis;Krankheiten des Kreislaufsystems;Hypertonie (Hochdruckkrankheit);Ischämische Herzkrankheiten;Akuter Myokardinfarkt, Rezidiv. Myokardinfarkt;Sonstige Formen der Herzkrankheit;Sonstige Krankheiten des Endokards;Zerebrovaskuläre Krankheiten;Schlaganfall, nicht als Blutung oder Infarkt bez.;Krankheiten der Arterien, Arteriolen und Kapillare;Krankheiten des Atmungssystems;Grippe;Pneumonie;Chronische Krankheiten der unteren Atemwege;Asthma;Krankheiten des Verdauungssystems;Ulcus ventriculi, duodeni, pepticum, peptic. jejun;Krankheiten der Leber;Alkoh.Leberkh., Chron.Hepatitis, Leberfibr- u.-zir;Krankheiten der Haut und der Unterhaut;Kh d. Muskel-Skelett-Syst. u. d. Bindegewebes;Chronische Polyarthritis und Arthrose;Krankheiten des Urogenitalsystems;Krankheiten der Niere;Schwangerschaft, Geburt und Wochenbett;Best. Zust. d. i. Ursprung i. d. Perinatalp. haben;Angeb.Fehlbild., Deformit. u. Chromosomenanom.;Angeborene Fehlbildungen des Nervensystems;Angeborene Fehlbildungen des Kreislaufsystems;Symptome, abnorme klin. u. Laborbefunde (a.n.k.);Plötzlicher Kindstod;Sonst. ungenau bez. u. unbek. Todesursachen;Insgesamt;Transportmittelunfälle;Stürze;Ertrinken und Untergehen;Exposition gegenüber Rauch, Feuer und Flammen;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);Vorsätzliche Selbstbeschädigung;Tätlicher Angriff;Ereignis, dessen nähere Umstände unbest. sind;Unfälle einschl. Spätfolgen;Äußere Ursachen von Morbidität und Mortalität
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Insgesamt;;Anzahl;5930;68;7;216;121;52450;51565;1033;1367;2000;4063;1850;5890;1560;3659;12359;11977;817;684;4069;8823;291;512;1205;3127;1141;1151;3956;1562;67;469;4049;2683;6239;1228;211;5293;25;69830;5795;20427;9586;20268;2565;11391;3977;5767;16264;13;4492;7656;217;8246;445;2671;2482;570;383;36;6177;4311;4;353;372;28;76;9776;17;8017;192913;574;2122;41;73;116;1831;97;526;4039;6508
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Insgesamt;Anzahl;1924;25;1;68;46;16002;15738;307;447;627;1195;546;1800;480;1107;3929;3823;228;183;1199;2586;82;146;364;919;331;327;1197;459;16;133;1132;725;1882;405;62;1589;9;20464;1586;6028;2730;6009;784;3346;1165;1671;4971;4;1382;2373;67;2491;141;824;777;147;105;8;1850;1257;1;96;123;6;33;3474;4;2897;58212;131;628;9;23;40;493;30;146;1154;1828
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Düsseldorf, krfr. Stadt;Anzahl;177;2;-;5;13;1743;1706;37;49;64;111;57;229;58;154;398;389;27;25;131;268;7;9;50;90;32;26;132;55;1;8;68;43;169;30;6;162;1;1873;101;538;240;545;71;303;100;219;561;-;173;219;2;258;14;87;84;11;6;-;215;131;-;17;11;-;2;535;1;497;6012;10;58;2;2;7;69;5;5;119;198
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Duisburg, krfr. Stadt;Anzahl;175;3;-;11;1;1642;1622;35;50;66;111;50;197;59;113;458;448;14;14;112;270;8;17;29;90;39;30;118;45;3;14;99;73;164;46;4;139;2;2171;196;642;294;699;70;302;92;160;506;-;120;253;2;256;18;95;92;12;11;1;160;108;-;10;12;3;2;442;-;411;5984;10;59;1;6;9;40;5;10;115;171
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Essen, krfr. Stadt;Anzahl;311;3;-;7;9;1907;1875;44;54;76;133;74;208;66;124;452;439;26;16;151;305;12;15;29;108;42;56;146;55;2;23;149;95;269;87;12;177;1;2396;196;702;294;750;62;376;111;178;608;1;197;286;13;327;13;101;97;15;13;2;232;141;-;17;20;1;2;418;-;331;7070;6;75;-;4;2;53;2;18;115;188
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Krefeld, krfr. Stadt;Anzahl;89;1;-;-;2;685;672;10;24;28;47;18;78;21;52;166;159;10;9;57;105;3;7;17;35;7;12;49;23;1;6;42;30;64;12;2;74;1;864;54;243;114;280;38;150;61;58;199;-;41;110;1;116;5;37;33;6;1;-;81;54;-;-;1;-;-;236;-;210;2545;9;28;1;-;1;14;1;11;55;81
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Mönchengladbach, krfr. Stadt;Anzahl;65;1;-;4;-;835;821;17;26;30;60;26;84;23;46;218;210;6;6;58;136;4;9;27;53;8;6;67;21;-;8;62;42;124;29;5;60;-;1120;66;336;153;367;37;179;54;77;323;-;90;181;5;129;6;47;45;7;7;-;90;68;-;6;5;-;1;83;-;68;3006;3;23;1;1;3;33;-;6;42;82
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Mülheim an der Ruhr, krfr. Stadt;Anzahl;82;2;-;3;1;567;559;18;17;11;51;16;65;12;45;133;129;9;9;44;103;5;5;18;29;14;17;37;10;-;5;44;28;98;16;1;69;-;701;44;193;86;188;43;115;39;69;178;1;49;72;2;88;2;27;25;9;3;-;72;46;-;2;1;-;-;125;-;102;2112;3;18;-;1;2;18;1;7;42;68
Gestorbene;Kreisfreie Städte und Kreise;Nordrhein-Westfalen;Düsseldorf, Regierungsbezirk;Oberhausen, krfr. Stadt;Anzahl;104;2;1;2;1;710;697;11;21;27;62;22;81;15;54;179;172;10;7;44;109;4;9;12;44;13;14;54;23;-;6;47;27;88;15;5;57;-;961;59;325;166;271;31;148;59;71;213;1;52;105;1;132;8;47;42;10;7;2;78;57;-;2;2;-;-;130;1;104;2625;5;29;-;1;1;16;2;11;49;78
